book_id,review_score,roberta_compound,rating,title,previewLink,image,genre,publisher,authors
B000K8F2L4,4.658536585365853,0.5567677,0.4075906923515265,Starship Troopers,http://books.google.com/books?id=rmEIDAAAQBAJ&printsec=frontcover&dq=Starship+Troopers&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=rmEIDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,penguin,Robert Anson Heinlein
B000PHIIM0,4.916666666666667,0.91572267,0.40591102381498306,Leaves of Grass,http://books.google.nl/books?id=QPJqmwEACAAJ&dq=Leaves+of+Grass&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=QPJqmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,other,tredition classics,Walt Whitman
0807209074,4.796875,0.68015,0.4043463135015821,The Two Towers: Part II of The Lord of the Rings (J.R.R. Tolkien),http://books.google.com/books?id=12e8PJ2T7sQC&printsec=frontcover&dq=The+Two+Towers:+Part+II+of+The+Lord+of+the+Rings+(J.R.R.+Tolkien)&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=12e8PJ2T7sQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Young Adult Fiction,harpercollins,J.R.R. Tolkien
B000NWUHR6,4.529411764705882,0.34785607,0.40402770485249323,Catch-22,http://books.google.com/books?id=U9V8JYt7WwoC&printsec=frontcover&dq=Catch-22&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=U9V8JYt7WwoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,simon and schuster,Joseph Heller
B000JWW2G4,4.117647058823529,0.42425597,0.4026442086140675,The Invisible Man,http://books.google.com/books?id=NieFvgAACAAJ&dq=The+Invisible+Man&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=NieFvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,other,rupa publications india pvt limited,H G Wells
B000FOENMW,4.628571428571429,0.76266366,0.4025509303750878,Life on the Mississippi,http://books.google.com/books?id=ZazQAPc8SZ0C&printsec=frontcover&dq=Life+on+the+Mississippi&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZazQAPc8SZ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Travel,penguin,Mark Twain
8188280046,4.704225352112676,0.75448453,0.4008523112092533,Pride & Prejudice (Classic Library),http://books.google.com/books?id=ZV9DDwAAQBAJ&printsec=frontcover&dq=Pride&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=ZV9DDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Young Adult Fiction,harpercollins,Ibi Zoboi
B000LALMWO,4.68,0.555958,0.4007983755063948,The Martian Chronicles,http://books.google.com/books?id=HzQXlPS48PQC&printsec=frontcover&dq=The+Martian+Chronicles&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=HzQXlPS48PQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,simon and schuster,Ray Bradbury
B000K7WNQW,4.835616438356165,0.73275304,0.4006188335039707,To Kill a Mockingbird,http://books.google.com/books?id=0NEbHGREK7cC&printsec=frontcover&dq=To+Kill+a+Mockingbird&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=0NEbHGREK7cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Drama,dramatic publishing,Harper Lee
B0007EBOJA,4.095238095238095,0.75730336,0.4000876928103147,A Journey to the Center of the Earth,http://books.google.com/books?id=h94W-A2ftPkC&printsec=frontcover&dq=A+Journey+to+the+Center+of+the+Earth&hl=&cd=1&source=gbs_api,http://books.google.com/books/content?id=h94W-A2ftPkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,sterling publishing company,Jules Verne
